id,scrape_id,last_scraped,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6422,2.02503E+13,3/15/25,12172,Michele,4/3/09,N/A,N/A,N/A,f,,1,1,t,t,District 6,36.17143,-86.7357,Private room in home,1,1,1,1,$43.00 ,4/30/09,3/3/20,4.95,4.94,4.96,4.97,4.96,4.92,4.98,f,1,0,1,0,3.46
39870,2.02503E+13,3/15/25,171184,Evelyn,7/18/10,within an hour,100%,93%,t,,1,2,t,t,District 25,36.12466,-86.81269,Private room in home,2,1,1,1,$70.00 ,9/16/16,3/9/25,4.93,4.94,4.92,4.98,4.97,4.93,4.91,f,1,0,1,0,5.22
59576,2.02503E+13,3/15/25,812128,Patricia And John,7/12/11,within an hour,90%,92%,t,South Miami Heights,12,32,t,t,District 12,36.1894,-86.59162,Private room in home,1,1,1,1,$53.00 ,6/26/22,6/19/24,4.67,5,4,5,5,5,5,f,6,1,5,0,0.09
72906,2.02503E+13,3/15/25,176117,Richard,7/21/10,within an hour,100%,100%,t,,1,1,t,t,District 18,36.13122,-86.80066,Entire rental unit,2,1,2,2,$81.00 ,6/9/11,3/2/25,4.92,4.91,4.83,4.98,4.99,4.97,4.9,f,1,1,0,0,4.5
258817,2.02503E+13,3/15/25,22296,Diana,6/19/09,within an hour,100%,75%,f,,18,25,t,t,District 12,36.16076,-86.59151,Private room in home,2,1,1,2,$34.00 ,12/12/11,12/27/23,4.78,4.81,4.41,4.92,4.91,4.74,4.73,f,8,0,7,1,0.6
289242,2.02503E+13,3/15/25,22296,Diana,6/19/09,within an hour,100%,75%,f,,18,25,t,t,District 12,36.16296,-86.59113,Private room in home,1,1,2,2,$33.00 ,12/28/11,1/12/19,4.71,4.75,4.27,4.83,4.78,4.47,4.69,f,8,0,7,1,0.47
319705,2.02503E+13,3/15/25,22296,Diana,6/19/09,within an hour,100%,75%,f,,18,25,t,t,District 12,36.16236,-86.59005,Private room in home,3,1,1,3,$45.00 ,2/8/12,2/2/24,4.74,4.6,4.45,4.77,4.69,4.63,4.58,f,8,0,7,1,0.31
329997,2.02503E+13,3/15/25,1684051,Rick,2/1/12,within an hour,100%,100%,t,,7,7,t,t,District 19,36.1758,-86.7995,Entire guesthouse,2,1,1,1,$98.00 ,2/20/12,3/2/25,4.9,4.92,4.93,4.94,4.95,4.62,4.87,f,7,7,0,0,9.23
340081,2.02503E+13,3/15/25,22296,Diana,6/19/09,within an hour,100%,75%,f,,18,25,t,t,District 12,36.16122,-86.59007,Private room in home,2,1,1,3,$33.00 ,2/24/12,7/3/24,4.85,4.77,4.53,4.89,4.96,4.66,4.88,f,8,0,7,1,0.52
395889,2.02503E+13,3/15/25,1547584,Kurt,12/29/11,within an hour,100%,98%,t,,1,1,t,t,District 6,36.16499,-86.75054,Private room in home,2,1,1,1,$86.00 ,6/12/12,3/2/25,4.87,4.93,4.94,4.97,4.96,4.7,4.82,f,1,0,1,0,2.3
